ID;Imiê;Nazwisko;Email;Login;Has³o;Rola
1;Jan;Kowalski;jan.kowalski@example.com;user1;e6c3da5b206634d7f3f3586d747ffdb36b5c675757b380c6a5fe5c570c714349;admin
2;Anna;Nowak;anna.nowak@example.com;user2;1ba3d16e9881959f8c9a9762854f72c6e6321cdd44358a10a4e939033117eab9;employee
3;Andrzej;Moczygemba;moczan@przyklad.com;moczan11;3acb59306ef6e660cf832d1d34c4fba3d88d616f0bb5c2a9e0f82d18ef6fc167;employee
4;Ahim;Skibon;skiba2137@example.com;skibidi;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
5;Janusz;Korwin;goat@gmail.com;januszex;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
6;Maria;Wisniewska;maria.wisniewska@example.com;mwisniewska;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
7;Tomasz;Zielinski;tomasz.zielinski@example.com;tzielinski;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
8;Katarzyna;Wujcik;katarzyna.wojcik@example.com;kwojcik;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
9;Michal;Kowalczyk;michal.kowalczyk@example.com;mkowalczyk;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
10;Agnieszka;Kaminska;agnieszka.kaminska@example.com;akaminska;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
11;Piotr;Lewandowski;piotr.lewandowski@example.com;plewandowski;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
12;Monika;Dombrowska;monika.dabrowska@example.com;mdabrowska;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
13;Krzysztof;Nowicki;krzysztof.nowicki@example.com;knowicki;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
14;Joanna;Mazur;joanna.mazur@example.com;jmazur;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
15;Lukasz;Krawczyk;lukasz.krawczyk@example.com;lkrawczyk;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
16;Natalia;Kaczmarek;natalia.kaczmarek@example.com;nkaczmarek;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad;employee
17;a;a;a@jafguy.com;a;ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb;admin
